UID1,UID2
2246,5350
313,4975
7291,8237
3519,6194
7115,7892
921,943
7367,7597
2668,4336
4467,4726
1785,4417
4850,6581
2700,3668
3058,4845
1785,4985
4013,5551
6810,7726
2668,3286
4935,4998
7405,7477
6818,7027
3649,4219
7395,7812
2188,420
2967,8285
7727,8017
6832,8337
7044,8505
6697,8255
5705,637
4032,5545
124,1820
1322,1742
4132,6178
7441,7759
7885,8535
4212,4561
1693,5490
7027,8620
7005,8596
5591,5594
5218,820
7301,7624
7518,8508
1607,509
2411,3974
2355,5035
7604,7614
2889,841
8358,8408
2350,5827
2113,5502
2380,5324
1543,242
3185,3885
2568,6621
1640,6168
6005,6639
5434,545
7892,8154
483,532
238,3686
405,6900
164,954
6749,7283
7459,7713
4620,5706
5521,6207
4013,4819
604,6814
8083,8324
4235,5678
8559,8855
7398,7797
3518,3955
2448,7139
2386,5241
6796,7554
3291,5678
7854,8030
4025,5677
2425,2426
1830,2542
1697,3973
6785,7407
6178,6212
1570,6053
4817,4899
3282,4049
7122,7361
3408,435
7319,8462
4064,6846
7512,8418
7885,8157
438,454
5216,5797
3405,6137
4491,5557
4333,4745
3137,6459
3395,3416
1326,2926
3815,5834
7160,7774
5519,6448
1785,4388
1041,5360
3851,5421
3661,6325
1527,3765
2839,2863
3525,6846
4408,798
6981,7089
2338,4276
2676,2835
1183,1719
4033,544
3459,6659
3173,3865
5222,6149
3505,894
3356,6051
4291,4619
1459,4003
7284,7507
7376,7460
8415,8439
1503,334
355,5867
7553,7867
2661,6926
7588,8395
7005,7830
2448,4557
3009,5201
5784,5867
1583,3999
2143,989
2545,4076
4347,5265
2380,2688
4333,5691
1738,1843
7026,7561
3389,4212
1495,5790
3377,4006
2517,989
2816,6592
1749,3530
1221,2256
7460,8445
3717,989
7838,8235
1456,4630
1449,343
5545,6513
1207,2273
7408,7758
3171,3806
8549,8589
3115,446
3313,4500
2582,3331
2661,6647
2273,5802
7062,8143
7540,8840
8231,8565
1280,3161
3174,5166
3522,4013
7122,7500
5422,5766
6312,6618
7336,8067
237,6659
5974,831
1957,4932
4361,5035
2508,4699
5156,989
5877,5967
2228,2759
3996,5395
8640,8674
4000,4201
1162,1946
2571,4292
2362,4108
1025,4130
1793,3419
5381,6539
266,5670
7322,8768
7815,8026
1316,4642
27,3075
1438,816
2822,2856
1330,943
6615,6623
7480,7504
2200,4888
4474,5975
3206,6058
2825,920
2402,5234
1547,2448
8518,8651
2199,2868
502,539
8180,8658
5334,780
2411,2523
1023,448
111,1969
2437,3238
8840,8855
4841,6109
4286,5385
124,1761
2926,511
3357,3452
6765,7005
4334,6334
4437,750
6835,8567
1438,4291
3303,3410
4544,892
1892,86
5435,5867
1530,3535
2469,3414
1718,2
8048,8501
7639,7830
8228,8558
1205,4813
1215,425
5317,6532
2215,4851
6614,6950
2265,6067
7293,8314
7611,7627
1437,16
659,903
1607,888
7934,8222
8021,8132
3536,5825
3929,553
6188,6314
7664,7675
160,4013
7503,8398
3771,4436
1656,245
3278,5381
3831,4013
1182,3038
3675,4013
3619,4712
315,5618
2688,3656
6323,981
2476,6185
7380,7518
7995,8307
1531,6068
3269,985
411,6189
5179,6630
3083,69
7575,8818
173,4220
1965,5674
4864,5230
1719,1969
7738,8435
3797,3820
6805,7810
7710,8458
8037,8812
3293,4538
2209,943
4434,6205
2388,2924
1491,5867
3725,5986
3970,6846
3052,6117
2241,4333
4356,865
7067,7927
3303,4668
2884,3459
4822,5548
1506,2733
2843,4643
1359,2446
8386,8636
7161,8798
1785,3173
4720,6881
6981,8798
3553,6188
2213,3088
3483,4717
3065,5208
1438,2344
8132,8623
3582,6094
8341,8367
1963,2559
4507,6934
2346,5389
1743,5280
1042,2288
1703,2927
4201,5867
2289,4041
4986,769
7531,8623
7039,7051
2241,3398
762,8826
1300,2926
2559,4333
7145,8585
8446,8457
1028,5690
3928,5794
1636,5974
2796,2926
5849,644
4052,513
6185,6552
6977,7075
4508,6062
1280,4645
7681,7771
4200,5554
146,4875
2316,5867
7356,8590
3155,5790
1274,5806
8319,8438
8525,8593
3918,6325
7000,7907
7904,8649
758,923
5179,6126
1784,2537
7539,8343
7793,7835
5566,989
1374,5175
6770,6815
1762,2868
7475,8080
7464,7758
1624,981
3598,6484
7500,8804
1437,4844
404,5968
7564,8472
7089,8134
2399,5153
3844,5552
2267,4417
7657,8058
4242,4973
2559,3815
3058,5208
7413,7852
4903,4906
7474,7497
327,4100
3334,6914
2386,4304
1390,3278
5151,989
1952,4695
6752,8181
7570,8567
1480,4013
4797,5408
3909,5117
2947,3757
3294,3400
7338,8067
3447,3902
2676,413
7659,8815
298,4793
1453,2746
1402,610
1330,4862
2868,4294
7952,8032
4349,6332
6589,6595
6784,7900
8143,8843
2816,2839
2890,5479
2141,6686
4467,5310
2447,5831
2582,3153
1653,5307
937,939
7978,8551
4333,5867
1033,801
6764,8563
2926,4334
1373,2598
2582,3893
4333,6267
5246,5862
2773,2944
1028,5416
3957,604
8455,8543
2448,6177
2346,5179
1362,6430
4653,5075
3163,3644
24,4474
3089,5385
6128,6133
1030,2147
29,3082
5380,6199
5765,6914
5732,5867
4375,834
1292,295
7799,7835
4324,5385
2702,2905
2557,4822
7165,8575
7424,8211
5478,6468
160,5048
7073,8479
5240,5249
159,879
7763,8847
7483,8638
637,6552
1263,3575
3787,4060
4508,618
1239,2273
1618,5919
5878,6622
3558,68
7714,7892
1767,265
5690,6260
7258,7259
7442,8410
2665,5806
1653,981
5052,5891
7386,7595
238,4339
1901,5650
285,3275
253,4135
7593,8034
3722,895
1330,4922
1785,633
4077,4235
3572,6194
501,6520
3355,6051
7601,7844
6481,6909
1904,5316
2665,3439
2732,2736
5830,5867
3231,6599
8472,8637
7374,8456
6147,6967
3364,3375
3955,5867
4615,4921
7516,8449
2542,2667
7412,8427
2575,6586
1892,4852
4013,5482
3405,962
7850,8144
1696,2668
145,5230
1415,3486
1625,4745
4076,5471
3355,3356
2914,6283
3850,6178
4272,5310
4443,6067
3040,5210
2183,3669
371,6857
4286,4848
4549,4661
2503,6929
8311,8409
2889,4875
3080,5367
3931,722
